id,en,ru
Play,Play,Играть
Settings,Settings,Настройки
Credits,Credits,Титры
Quit,Quit,Выход
Resume,Resume,Продолжить
Main Menu,Main Menu,Главное меню
Video,Video,Видео
Resolution:,Resolution:,Разрешение:
Window Mode:,Window Mode:,Режим окна:
Language:,Language:,Язык:
FPS Limit:,FPS Limit:,Лимит FPS:
Audio,Audio,Аудио
Apply,Apply,Применить
Reset,Reset,Сброс
Back,Back,Назад
Wave:,Wave:,Волна:
Master:,Master:,Общая:
Music:,Music:,Музыка:
SFX:,SFX:,Эффекты:
English,English,English
Русский,Русский,Русский
Fullscreen,Fullscreen,Полный экран
Borderless,Borderless,Без рамок
Windowed,Windowed,В окне
