keys,en,ru
UI_MAIN_MENU_NEW_GAME,New Game,Новая игра
UI_MAIN_MENU_NEW_GAME_CONFIRM_TITLE,Start New Game?,Начать новую игру?
UI_MAIN_MENU_NEW_GAME_CONFIRM_TEXT,"This will erase your current progress. Are you sure?","Это сотрёт текущий прогресс. Вы уверены?"
UI_MAIN_MENU_CONTINUE,Continue,Продолжить
UI_MAIN_MENU_PLAY,Play,Играть
UI_MAIN_MENU_SETTINGS,Settings,Настройки
UI_MAIN_MENU_CREDITS,Credits,Титры
UI_MAIN_MENU_QUIT,Quit,Выход
UI_SETTINGS_TITLE,Settings,Настройки
UI_SETTINGS_VIDEO,Video,Видео
UI_SETTINGS_RESOLUTION,Resolution:,Разрешение:
UI_SETTINGS_WINDOW_MODE,Window Mode:,Режим окна:
UI_SETTINGS_LANGUAGE,Language:,Язык:
UI_SETTINGS_FPS_LIMIT,FPS Limit:,Лимит FPS:
UI_SETTINGS_AUDIO,Audio,Аудио
UI_SETTINGS_MASTER,Master:,Общая:
UI_SETTINGS_MUSIC,Music:,Музыка:
UI_SETTINGS_SFX,SFX:,Эффекты:
UI_SETTINGS_APPLY,Apply,Применить
UI_SETTINGS_RESET,Reset,Сброс
UI_SETTINGS_BACK,Back,Назад
UI_SETTINGS_CANCEL_TITLE,Cancel Changes,Отмена изменений
UI_SETTINGS_CANCEL_PROMPT,Are you sure you want to cancel the changes?,"Вы уверены, что хотите отменить внесённые изменения?"
UI_PAUSE_TITLE,PAUSED,ПАУЗА
UI_PAUSE_RESUME,Resume,Продолжить
UI_PAUSE_MAIN_MENU,Main Menu,В главное меню
UI_CREDITS_TITLE,Credits,Титры
UI_BATTLE_WAVE,Wave:,Волна:
UI_PARTY_LEVEL,Lv.,Ур.
UI_BATTLE_SCORE,Score:,Очки:
UI_BATTLE_SHIELD,Shield:,Щит:
UI_BATTLE_SWAPS,Swaps:,Ходы:
UI_BATTLE_ALTARION,Altarion,Эльтарион
UI_BATTLE_ALDRIC,Aldric,Элдрик
UI_BATTLE_CHOOSE_ACTOR,Choose who acts next,Выберите бойца
UI_BATTLE_CHOOSE_ABILITY,Choose an ability,Выберите способность
UI_BATTLE_CHOOSE_TARGET,Choose a target,Выберите цель
ABILITY_ALTARION_FIREBALL,Fireball,Огненный шар
ABILITY_ALTARION_FIREBALL_DESC,Hurls a bolt of fire at an enemy,Швыряет во врага сгусток пламени
ABILITY_ALTARION_HEALING_LIGHT,Healing Light,Свет исцеления
ABILITY_ALTARION_HEALING_LIGHT_DESC,Restores health to an ally or self,Восстанавливает здоровье себе или союзнику
ABILITY_ALTARION_METEOR_STORM,Meteor Storm,Метеоритный шторм
ABILITY_ALTARION_METEOR_STORM_DESC,Calls down meteors on all enemies,Обрушивает метеориты на всех врагов
ABILITY_ALDRIC_SWORD_STRIKE,Sword Strike,Удар мечом
ABILITY_ALDRIC_SWORD_STRIKE_DESC,A powerful strike against an enemy,Мощный удар по врагу
ABILITY_ALDRIC_SHIELD_WALL,Shield Wall,Стена щитов
ABILITY_ALDRIC_SHIELD_WALL_DESC,Grants a protective shield to an ally or self,Даёт защитный щит себе или союзнику
ABILITY_ALDRIC_CRUSHING_BLOW,Crushing Blow,Сокрушающий удар
ABILITY_ALDRIC_CRUSHING_BLOW_DESC,A devastating strike against the toughest enemy,Разрушительный удар по самому живучему врагу
UI_BATTLE_ULTIMATE_READY,Ultimate,Ультимата
UI_BATTLE_ULTIMATE_CHARGE,Ultimate charge:,Заряд ульты:
LOCATION_VILLAGE_RUINS,Village Ruins,Руины деревни
LOCATION_DARK_FOREST,Dark Forest,Тёмный лес
LOCATION_BURIED_CATACOMBS,Buried Catacombs,Погребённые катакомбы
LOCATION_FROZEN_WASTES,Frozen Wastes,Ледяные пустоши
